,C1,C3,C5,C9,C10,C11,C12,C14,C15,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,P1,P2,P3,P5,P9,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65
Sarcosine,24000000,16900000,17100000,26000000,21500000,21500000,30900000,24800000,19000000,18200000,18600000,22100000,19400000,25200000,22900000,25700000,19200000,20500000,22400000,21500000,20300000,20000000,22300000,21900000,22200000,22300000,20400000,26600000,24300000,23500000,26400000,21700000,19500000,22900000,20600000,29300000,19100000,22200000,24500000,23900000,23500000,28800000,23400000,24500000,24300000,31800000,24700000,21100000,26100000,22400000,28200000,21700000,26200000,30100000,24900000,24800000,24800000,22000000,27400000,27200000,23900000,20800000,20600000,23200000,21700000,21500000,22300000,26500000,26000000,33700000,25300000,20400000,25000000,27500000,23600000,21900000,27200000,24400000,31200000,25400000,21500000,25200000,26400000,25500000,24400000,22600000,31400000,32500000,21500000,30400000,43300000,21500000,29300000,31800000,29000000,29500000,25800000,28400000,23400000,21300000,25100000,21900000,22600000,26800000,22900000,22300000,25400000,24500000,33600000,24600000,22900000,33900000,34900000,23800000,21700000,22900000,27300000,21500000,22300000,24500000
L-Alanine,23400000,15100000,18800000,25900000,20800000,21500000,31600000,24100000,18000000,18400000,18200000,21400000,19000000,23800000,22200000,25700000,19100000,19900000,22400000,20900000,19500000,19500000,22900000,21600000,21200000,21800000,20500000,24600000,23000000,23700000,26500000,21400000,19900000,21900000,20300000,28900000,18400000,21700000,24700000,23900000,22200000,28300000,23100000,24000000,22900000,30700000,24300000,21800000,25600000,22200000,26900000,22200000,24900000,30400000,25000000,24900000,24300000,20700000,27000000,26400000,23600000,20500000,20200000,22800000,22400000,21500000,22200000,26500000,26000000,33000000,24700000,20600000,24700000,27000000,22500000,21800000,28000000,24700000,31200000,24800000,21800000,25000000,26500000,25200000,25000000,22000000,31600000,32700000,21600000,28900000,41800000,21400000,29900000,33200000,28400000,30000000,26500000,28300000,23100000,21600000,25600000,22000000,22600000,26700000,23500000,22400000,24900000,24800000,34100000,25400000,22700000,32800000,36200000,24100000,22500000,23300000,27500000,21900000,24200000,24600000
5-Aminopentanoic acid,32800000,33600000,32900000,33000000,34200000,32600000,32900000,33600000,33000000,31300000,32300000,31200000,33100000,31000000,32200000,33500000,31100000,33200000,30800000,33800000,32800000,33000000,35700000,34400000,32200000,33000000,32600000,33400000,34600000,34900000,32200000,31600000,33900000,31900000,33700000,34300000,33400000,34400000,32300000,33300000,34500000,34600000,34500000,34000000,31300000,35100000,30200000,32500000,32800000,33700000,30500000,29600000,35400000,35700000,32900000,32200000,33000000,19500000,31100000,34200000,33300000,32700000,36200000,33000000,34000000,33300000,34400000,32000000,34100000,36200000,34100000,35200000,34100000,35300000,34700000,34600000,35000000,35800000,36700000,37200000,33400000,36000000,35300000,36100000,33500000,32200000,34800000,40900000,35000000,32200000,38900000,34500000,36300000,37600000,37800000,37800000,35000000,37200000,36900000,35000000,35000000,33800000,34800000,37100000,36100000,31600000,35700000,35200000,38300000,36400000,36400000,35700000,38100000,36200000,35300000,34800000,34100000,32700000,36800000,35900000
L-Pipecolate,27400000,18100000,18200000,16700000,11400000,10700000,13600000,13400000,11000000,11400000,12500000,12800000,11600000,9000000,9890000,11300000,9140000,10900000,8320000,9180000,10300000,9290000,7470000,10000000,12600000,8320000,6900000,9620000,9560000,10800000,10500000,10600000,10400000,6260000,8720000,9590000,7860000,8040000,9020000,5960000,10100000,8460000,8540000,7950000,9460000,7960000,9880000,7340000,5690000,6210000,8590000,7490000,8270000,7810000,8370000,8630000,7880000,7320000,8800000,6550000,7500000,7620000,9760000,8930000,8160000,6560000,7780000,9800000,8120000,11400000,9900000,7430000,7100000,6650000,8080000,7730000,8240000,7710000,5870000,8300000,5810000,8510000,8530000,8140000,5900000,6500000,8650000,12000000,8530000,8590000,7630000,7520000,5030000,7350000,8220000,10300000,8350000,7980000,7680000,7230000,6370000,7510000,6890000,7610000,7110000,7860000,8870000,8130000,8410000,8950000,7430000,6320000,8370000,6530000,7600000,7490000,8020000,8310000,7870000,6900000
Hydroxyproline,80800000,80600000,80500000,87900000,75700000,56000000,88900000,72800000,70700000,60200000,65400000,86100000,81500000,69300000,69200000,77800000,65700000,69400000,76600000,77500000,68200000,69900000,81700000,83500000,60300000,76800000,59500000,76000000,83300000,73600000,65900000,64800000,79200000,68800000,74000000,82800000,77000000,73200000,69900000,65300000,74600000,81100000,76500000,71700000,61400000,91900000,59700000,66400000,71000000,74300000,69500000,54200000,87300000,91500000,71400000,71300000,70300000,47000000,71700000,76700000,72500000,77000000,88600000,74400000,76100000,79800000,80900000,73200000,74900000,104000000,77700000,87200000,74800000,84200000,83700000,77100000,85700000,77400000,87400000,92100000,78700000,74700000,91000000,74800000,68800000,69400000,80500000,102000000,77200000,77300000,104000000,82500000,87800000,84200000,83600000,83400000,77800000,80800000,81900000,76300000,68400000,71600000,71500000,86700000,80900000,69100000,77200000,78200000,92600000,86800000,82200000,74800000,92100000,84500000,84000000,75400000,68700000,74000000,76000000,77200000
5-Aminolevulinate,80000000,80500000,80200000,82200000,70300000,55600000,82800000,67400000,73100000,59300000,65900000,85500000,80400000,69500000,69100000,76400000,65300000,68300000,75100000,76600000,67700000,69100000,80200000,82600000,57600000,72400000,59400000,75400000,77400000,74500000,65400000,64100000,73700000,67300000,70500000,82300000,72600000,72600000,68100000,59700000,71100000,76800000,72100000,67100000,57500000,85600000,59300000,62300000,67100000,68900000,63600000,53200000,87100000,91200000,71800000,70400000,64000000,46700000,70300000,76200000,72400000,75800000,86700000,71300000,76100000,77700000,79500000,73100000,74100000,102000000,76500000,85700000,74000000,81800000,82400000,72400000,83600000,77000000,87600000,90400000,77700000,70700000,90200000,73700000,67700000,68900000,78600000,102000000,75300000,76200000,105000000,75600000,87500000,83900000,83200000,82600000,75300000,80600000,80800000,74500000,67900000,69000000,69000000,86000000,80200000,67000000,76900000,77000000,90900000,84400000,80300000,73600000,90500000,83200000,82000000,74400000,68700000,73000000,74800000,75800000
L-Isoleucine,56200000,55700000,56300000,5110000,7520000,17500000,2480000,6520000,62400000,78700000,9400000,11000000,13400000,83300000,59200000,66200000,14000000,19900000,67000000,82100000,19400000,89700000,9110000,56000000,78600000,67800000,81500000,89400000,4140000,6630000,49400000,86700000,19700000,14400000,87700000,63700000,65900000,66000000,86900000,44400000,96300000,66900000,90500000,38800000,43400000,10100000,36400000,24600000,19200000,86700000,19500000,34500000,69700000,12800000,19800000,55900000,19700000,17500000,19700000,68700000,20300000,6760000,24800000,49000000,19100000,83100000,49400000,49000000,47600000,8150000,22600000,12900000,6360000,21300000,21600000,91100000,7860000,39600000,22700000,34800000,21200000,15000000,33600000,69100000,46200000,20500000,7410000,26100000,6180000,19400000,30000000,6640000,11800000,8740000,8750000,8750000,92800000,19100000,7960000,19300000,66100000,44600000,20900000,19100000,94600000,19600000,19600000,7050000,8140000,11200000,86600000,46100000,9550000,8130000,20600000,5800000,19200000,16900000,20500000,5890000
L-Leucine,81600000,83700000,86800000,87100000,82000000,68900000,85700000,81400000,82800000,73800000,75700000,89900000,88300000,79100000,80000000,85900000,78300000,79800000,85800000,87100000,78600000,81500000,90300000,90600000,69200000,86300000,72300000,87000000,92300000,83600000,78600000,82100000,90100000,81200000,85000000,92700000,88700000,88000000,81000000,76900000,83100000,92000000,87700000,83800000,75000000,95900000,71300000,76100000,84100000,85700000,81900000,65800000,96300000,100000000,85800000,85300000,81100000,57900000,85200000,87700000,86500000,88400000,96000000,86500000,89600000,93300000,92600000,86400000,87800000,100000000,90700000,96200000,88200000,93600000,93700000,90100000,95800000,89200000,98100000,98900000,90800000,86900000,99600000,86800000,81400000,77600000,91100000,88200000,88200000,88700000,96400000,91000000,94400000,93900000,92100000,92100000,88700000,91100000,91700000,86800000,81000000,82800000,83400000,90900000,90900000,81400000,87400000,88200000,93400000,93400000,90400000,87800000,95700000,91400000,91500000,86700000,82400000,85800000,87400000,88500000
6-Hydroxydopamine,20600000,13400000,16400000,18700000,12400000,11100000,14800000,13900000,11600000,11500000,13200000,13300000,12800000,10200000,12100000,13500000,10500000,13000000,9470000,9820000,12300000,10800000,9350000,11200000,11400000,9960000,9030000,11900000,12300000,11100000,12700000,12400000,13300000,7920000,10100000,11800000,10200000,9640000,9970000,8210000,12200000,9750000,10000000,9960000,12100000,10000000,11900000,8970000,7230000,7870000,11000000,9170000,10400000,10200000,10100000,9790000,9650000,9470000,10600000,8470000,9780000,8850000,11800000,10100000,9970000,8520000,9580000,11100000,9370000,13200000,12300000,9300000,8180000,8310000,11100000,9860000,10400000,10400000,6200000,9810000,6690000,10500000,11100000,9330000,7710000,8420000,9460000,12700000,10000000,10800000,8710000,8860000,5630000,9500000,10200000,11500000,9430000,8950000,9610000,8910000,7010000,8700000,8720000,9400000,7700000,9990000,9870000,9380000,9230000,10200000,8040000,7120000,9030000,7000000,8950000,8080000,9190000,9070000,8920000,9350000
L-Glutamine,66600000,53200000,54900000,56200000,42400000,39400000,48600000,47100000,42600000,41000000,43900000,47200000,46100000,37200000,41400000,47800000,40000000,43500000,37500000,38500000,43300000,39600000,33800000,41000000,46000000,38200000,35000000,42200000,42500000,35200000,45600000,36300000,45500000,30600000,37600000,41300000,35200000,36900000,42400000,31600000,43700000,36100000,38200000,37200000,41800000,37600000,44600000,35300000,26100000,30200000,41300000,37400000,38900000,37000000,38300000,37300000,36400000,35100000,34200000,33100000,37200000,35800000,43500000,38900000,37400000,25800000,36500000,41700000,36600000,45600000,44700000,35900000,32200000,33100000,38000000,37500000,38300000,37100000,27700000,38500000,25100000,35200000,38900000,35500000,30100000,32200000,38100000,45600000,36300000,38800000,33400000,34000000,23400000,34200000,36000000,42400000,36500000,29600000,33400000,33900000,28400000,34700000,32300000,36400000,32300000,36200000,35400000,29400000,37300000,39000000,29800000,28800000,36500000,31100000,36500000,35000000,33600000,34500000,34500000,34600000
